order_id,customer_id,region_x,category,product,sales_rep_id,order_date,quantity,unit_price,total_amount,sales_amount,customer_name,age,gender,region_y,join_date,rep_name,region,hire_date
ORD00021,CUST0720,South,Sports,Shoes,EMP074,2022-09-28,8,574.74,4597.92,4597.92,Customer_CUST0720,48,Male,South,2020-12-15,Employee_EMP074,East,2022-07-27
ORD00022,CUST0720,North,Electronics,Tablet,EMP093,2022-09-09,9,961.56,8654.039999999999,8654.039999999999,Customer_CUST0720,48,Male,South,2020-12-15,Employee_EMP093,North,2024-07-08
ORD00023,CUST0920,West,Electronics,Headphones,EMP072,2023-12-26,2,544.3,1088.6,1088.6,Customer_CUST0920,55,Female,West,2022-03-19,Employee_EMP072,North,2022-04-25
ORD00024,CUST0138,North,Electronics,Laptop,EMP011,2022-08-05,9,303.31,2729.79,2729.79,Customer_CUST0138,61,Male,South,2023-09-24,Employee_EMP011,West,2023-08-22
ORD00025,CUST0338,North,Food,Milk,EMP080,2022-03-06,9,987.02,8883.18,8883.18,Customer_CUST0338,34,Male,West,2021-11-29,Employee_EMP080,South,2020-12-11
ORD00026,CUST0884,East,Food,Juice,EMP038,2022-12-10,1,206.73,206.73,206.73,Customer_CUST0884,55,Male,East,2022-06-05,Employee_EMP038,South,2020-11-06
ORD00027,CUST0022,West,Furniture,Table,EMP036,2023-04-17,3,709.79,2129.37,2129.37,Customer_CUST0022,41,Female,West,2021-04-20,Employee_EMP036,West,2023-03-28
ORD00028,CUST0063,South,Sports,Tennis Racket,EMP025,2023-11-06,3,773.56,2320.68,2320.68,Customer_CUST0063,25,Female,North,2022-09-04,Employee_EMP025,East,2022-12-12
ORD00029,CUST0369,West,Electronics,Headphones,EMP095,2023-05-05,7,654.57,4581.990000000001,4581.990000000001,Customer_CUST0369,18,Female,North,2020-10-08,Employee_EMP095,West,2021-02-12
ORD00030,CUST0386,West,Electronics,Headphones,EMP086,2022-01-28,7,851.54,5960.78,5960.78,Customer_CUST0386,45,Male,West,2023-07-06,Employee_EMP086,South,2018-11-23
ORD00031,CUST0851,North,Food,Rice,EMP032,2022-02-02,7,317.87,2225.09,2225.09,Customer_CUST0851,59,Female,East,2023-04-08,Employee_EMP032,North,2022-08-12
ORD00032,CUST0318,South,Electronics,Tablet,EMP079,2023-12-29,5,732.31,3661.55,3661.55,Customer_CUST0318,49,Female,North,2022-04-23,Employee_EMP079,South,2022-05-24
ORD00033,CUST0697,South,Clothing,Jacket,EMP012,2023-12-27,3,477.49,1432.47,1432.47,Customer_CUST0697,35,Female,North,2022-08-20,Employee_EMP012,North,2022-03-29
ORD00034,CUST0703,South,Furniture,Cupboard,EMP067,2023-09-05,3,763.18,2289.54,2289.54,Customer_CUST0703,44,Female,South,2020-10-20,Employee_EMP067,North,2018-12-25
ORD00035,CUST0339,West,Clothing,Shirt,EMP098,2022-08-06,7,773.26,5412.82,5412.82,Customer_CUST0339,39,Female,North,2022-09-29,Employee_EMP098,West,2021-02-27
ORD00036,CUST0299,North,Electronics,Camera,EMP072,2023-01-28,3,41.11,123.33,123.33,Customer_CUST0299,20,Female,East,2022-07-13,Employee_EMP072,North,2022-04-25
ORD00037,CUST0963,West,Clothing,Shoes,EMP008,2022-08-29,4,567.64,2270.56,2270.56,Customer_CUST0963,60,Female,South,2021-03-24,Employee_EMP008,North,2023-11-16
ORD00038,CUST0928,North,Clothing,Jacket,EMP070,2023-04-30,7,608.37,4258.59,4258.59,Customer_CUST0928,27,Female,West,2020-04-20,Employee_EMP070,East,2020-12-12
ORD00039,CUST0474,North,Food,Milk,EMP062,2023-10-17,4,943.43,3773.72,3773.72,Customer_CUST0474,45,Female,East,2020-03-22,Employee_EMP062,West,2020-11-03
ORD00040,CUST0354,South,Sports,Shoes,EMP050,2023-11-30,3,169.61,508.83,508.83,Customer_CUST0354,46,Female,South,2020-07-25,Employee_EMP050,West,2021-09-09
ORD00041,CUST0071,East,Clothing,Dress,EMP091,2023-08-01,9,114.44,1029.96,1029.96,Customer_CUST0071,52,Female,East,2022-12-26,Employee_EMP091,West,2024-03-31
ORD00042,CUST0827,South,Clothing,Jacket,EMP067,2022-01-28,4,893.63,3574.52,3574.52,Customer_CUST0827,23,Male,West,2020-06-08,Employee_EMP067,North,2018-12-25
ORD00043,CUST0763,East,Clothing,Dress,EMP033,2022-11-27,7,897.13,6279.91,6279.91,Customer_CUST0763,59,Female,West,2023-10-10,Employee_EMP033,East,2023-11-24
ORD00044,CUST0485,East,Food,Bread,EMP002,2022-08-19,1,279.41,279.41,279.41,Customer_CUST0485,52,Male,East,2022-04-26,Employee_EMP002,West,2021-06-09
ORD00045,CUST0120,South,Furniture,Table,EMP006,2022-10-10,9,819.83,7378.47,7378.47,Customer_CUST0120,25,Female,North,2022-01-06,Employee_EMP006,West,2023-04-29
ORD00046,CUST0703,North,Sports,Shoes,EMP075,2022-09-16,7,173.01,1211.07,1211.07,Customer_CUST0703,44,Female,South,2020-10-20,Employee_EMP075,North,2023-10-05
ORD00047,CUST0301,South,Electronics,Laptop,EMP069,2023-02-15,9,489.98,4409.82,4409.82,Customer_CUST0301,29,Female,East,2021-04-07,Employee_EMP069,West,2023-02-01
ORD00048,CUST0451,South,Sports,Shoes,EMP053,2022-08-13,3,276.72,830.1600000000001,830.1600000000001,Customer_CUST0451,54,Female,North,2020-02-01,Employee_EMP053,North,2024-09-08
ORD00049,CUST0878,South,Furniture,Chair,EMP049,2023-10-26,6,226.58,1359.48,1359.48,Customer_CUST0878,53,Male,East,2023-10-25,Employee_EMP049,North,2022-02-14
ORD00050,CUST0741,West,Furniture,Chair,EMP021,2023-04-17,9,409.8,3688.2,3688.2,Customer_CUST0741,62,Female,East,2023-01-20,Employee_EMP021,South,2024-03-21
ORD00051,CUST0535,East,Electronics,Headphones,EMP036,2023-05-12,4,254.41,1017.64,1017.64,Customer_CUST0535,37,Male,West,2022-02-11,Employee_EMP036,West,2023-03-28
ORD00052,CUST0925,South,Food,Milk,EMP031,2023-01-21,3,307.87,923.61,923.61,Customer_CUST0925,43,Female,West,2023-04-10,Employee_EMP031,East,2023-09-16
ORD00053,CUST0271,South,Sports,Shoes,EMP064,2023-09-17,8,46.52,372.16,372.16,Customer_CUST0271,31,Male,South,2022-03-23,Employee_EMP064,East,2020-06-30
ORD00054,CUST0087,South,Electronics,Tablet,EMP024,2022-04-23,2,507.65,1015.3,1015.3,Customer_CUST0087,39,Male,West,2023-03-14,Employee_EMP024,West,2020-04-12
ORD00055,CUST0121,East,Food,Rice,EMP016,2023-07-20,7,285.86,2001.02,2001.02,Customer_CUST0121,52,Male,East,2020-06-23,Employee_EMP016,West,2020-10-28
ORD00056,CUST0169,South,Sports,Tennis Racket,EMP042,2022-08-13,1,247.17,247.17,247.17,Customer_CUST0169,25,Female,West,2020-10-19,Employee_EMP042,South,2021-07-29
ORD00057,CUST0722,North,Sports,Football,EMP062,2022-05-10,5,494.56,2472.8,2472.8,Customer_CUST0722,25,Female,North,2021-09-15,Employee_EMP062,West,2020-11-03
ORD00058,CUST0408,North,Sports,Shoes,EMP034,2023-11-03,6,249.63,1497.78,1497.78,Customer_CUST0408,39,Female,East,2021-12-19,Employee_EMP034,North,2019-09-07
ORD00059,CUST0574,West,Electronics,Headphones,EMP093,2023-03-15,8,245.26,1962.08,1962.08,Customer_CUST0574,57,Female,West,2021-09-22,Employee_EMP093,North,2024-07-08
ORD00060,CUST0356,East,Food,Rice,EMP014,2022-10-21,8,475.6,3804.8,3804.8,Customer_CUST0356,24,Female,East,2022-06-02,Employee_EMP014,East,2024-04-25
ORD00061,CUST0110,South,Sports,Gloves,EMP089,2023-09-02,6,404.84,2429.04,2429.04,Customer_CUST0110,39,Female,South,2021-03-09,Employee_EMP089,West,2024-08-11
ORD00062,CUST0185,East,Food,Rice,EMP088,2023-05-26,1,159.21,159.21,159.21,Customer_CUST0185,46,Female,West,2020-10-12,Employee_EMP088,West,2022-03-08
ORD00063,CUST0524,West,Sports,Football,EMP031,2022-07-06,6,698.85,4193.1,4193.1,Customer_CUST0524,42,Female,West,2021-03-27,Employee_EMP031,East,2023-09-16
ORD00064,CUST0641,East,Electronics,Camera,EMP026,2023-10-22,4,26.42,105.68,105.68,Customer_CUST0641,24,Male,North,2021-07-02,Employee_EMP026,West,2019-12-02
ORD00065,CUST0474,West,Sports,Football,EMP036,2023-05-26,3,355.18,1065.54,1065.54,Customer_CUST0474,45,Female,East,2020-03-22,Employee_EMP036,West,2023-03-28
ORD00066,CUST0325,West,Food,Milk,EMP063,2023-12-12,4,941.12,3764.48,3764.48,Customer_CUST0325,57,Female,South,2020-08-20,Employee_EMP063,South,2022-07-23
ORD00067,CUST0305,East,Electronics,Laptop,EMP086,2023-10-02,7,937.36,6561.52,6561.52,Customer_CUST0305,21,Female,East,2020-12-03,Employee_EMP086,South,2018-11-23
ORD00068,CUST0705,South,Sports,Football,EMP033,2023-10-03,9,122.34,1101.06,1101.06,Customer_CUST0705,36,Female,West,2022-04-29,Employee_EMP033,East,2023-11-24
ORD00069,CUST0045,West,Electronics,Mobile,EMP052,2022-05-31,3,236.26,708.78,708.78,Customer_CUST0045,38,Female,South,2021-12-21,Employee_EMP052,East,2023-06-13
ORD00070,CUST0594,North,Food,Milk,EMP026,2022-05-24,9,521.47,4693.23,4693.23,Customer_CUST0594,40,Male,East,2021-10-03,Employee_EMP026,West,2019-12-02
ORD00071,CUST0420,South,Furniture,Sofa,EMP043,2022-01-02,1,102.17,102.17,102.17,Customer_CUST0420,27,Female,East,2021-01-08,Employee_EMP043,North,2018-10-05
ORD00072,CUST0877,East,Sports,Gloves,EMP092,2023-10-14,5,901.41,4507.05,4507.05,Customer_CUST0877,52,Female,East,2023-12-10,Employee_EMP092,South,2019-10-14
ORD00073,CUST0037,North,Furniture,Chair,EMP009,2022-01-09,9,355.72,3201.48,3201.48,Customer_CUST0037,28,Female,North,2022-10-11,Employee_EMP009,North,2018-09-19
ORD00074,CUST0348,East,Sports,Bat,EMP083,2022-07-27,3,857.76,2573.28,2573.28,Customer_CUST0348,27,Female,West,2021-06-14,Employee_EMP083,North,2020-09-29
ORD00075,CUST0079,East,Clothing,Jacket,EMP089,2022-02-23,8,888.89,7111.12,7111.12,Customer_CUST0079,34,Male,North,2020-07-29,Employee_EMP089,West,2024-08-11
ORD00076,CUST0135,South,Clothing,Dress,EMP015,2023-09-20,1,170.01,170.01,170.01,Customer_CUST0135,42,Female,West,2023-09-20,Employee_EMP015,South,2023-09-03
ORD00077,CUST0523,East,Furniture,Chair,EMP045,2023-02-26,8,610.36,4882.88,4882.88,Customer_CUST0523,56,Male,North,2023-10-03,Employee_EMP045,East,2021-09-05
ORD00078,CUST0561,North,Sports,Tennis Racket,EMP064,2022-08-15,9,666.87,6001.83,6001.83,Customer_CUST0561,23,Female,West,2020-07-20,Employee_EMP064,East,2020-06-30
ORD00079,CUST0230,East,Electronics,Laptop,EMP093,2022-12-04,2,694.98,1389.96,1389.96,Customer_CUST0230,26,Male,South,2022-10-15,Employee_EMP093,North,2024-07-08
ORD00080,CUST0112,West,Electronics,Headphones,EMP031,2023-12-21,9,184.17,1657.53,1657.53,Customer_CUST0112,27,Female,South,2021-01-01,Employee_EMP031,East,2023-09-16
ORD00081,CUST1000,North,Furniture,Chair,EMP096,2023-08-03,1,498.95,498.95,498.95,Customer_CUST1000,39,Female,North,2023-05-02,Employee_EMP096,South,2024-08-13
ORD00082,CUST0981,West,Food,Juice,EMP046,2023-05-19,8,850.73,6805.84,6805.84,Customer_CUST0981,61,Male,West,2023-11-30,Employee_EMP046,South,2019-11-06
ORD00083,CUST0113,West,Clothing,Shirt,EMP013,2023-02-05,1,547.11,547.11,547.11,Customer_CUST0113,59,Female,East,2022-03-04,Employee_EMP013,West,2022-01-28
ORD00084,CUST0986,West,Clothing,Shoes,EMP096,2023-04-15,7,257.96,1805.72,1805.72,Customer_CUST0986,27,Female,South,2020-07-09,Employee_EMP096,South,2024-08-13
ORD00085,CUST0430,North,Electronics,Mobile,EMP004,2023-11-01,6,979.1,5874.6,5874.6,Customer_CUST0430,25,Male,West,2022-10-10,Employee_EMP004,South,2023-09-08
ORD00086,CUST0126,East,Electronics,Laptop,EMP019,2023-07-17,6,907.04,5442.24,5442.24,Customer_CUST0126,22,Male,South,2023-02-13,Employee_EMP019,West,2021-02-20
ORD00087,CUST0554,North,Sports,Bat,EMP090,2022-01-27,2,356.58,713.16,713.16,Customer_CUST0554,41,Male,North,2022-02-15,Employee_EMP090,East,2022-01-05
ORD00088,CUST0931,East,Food,Milk,EMP067,2023-09-01,1,203.29,203.29,203.29,Customer_CUST0931,30,Male,West,2024-02-05,Employee_EMP067,North,2018-12-25
ORD00089,CUST0454,West,Furniture,Table,EMP050,2023-10-21,4,34.07,136.28,136.28,Customer_CUST0454,49,Female,West,2022-12-25,Employee_EMP050,West,2021-09-09
ORD00090,CUST0247,North,Furniture,Table,EMP073,2022-02-18,1,994.61,994.61,994.61,Customer_CUST0247,40,Female,North,2022-04-03,Employee_EMP073,West,2022-09-16
ORD00091,CUST0899,North,Furniture,Cupboard,EMP085,2022-06-07,5,884.66,4423.3,4423.3,Customer_CUST0899,33,Male,East,2022-06-23,Employee_EMP085,West,2019-07-31
ORD00092,CUST0950,South,Food,Snacks,EMP090,2022-02-06,8,337.44,2699.52,2699.52,Customer_CUST0950,50,Female,North,2022-01-24,Employee_EMP090,East,2022-01-05
ORD00093,CUST0036,North,Clothing,Pants,EMP089,2022-10-29,5,576.57,2882.85,2882.85,Customer_CUST0036,22,Female,West,2021-08-18,Employee_EMP089,West,2024-08-11
ORD00094,CUST0839,West,Sports,Shoes,EMP070,2023-12-01,1,84.59,84.59,84.59,Customer_CUST0839,42,Female,East,2021-05-06,Employee_EMP070,East,2020-12-12
ORD00095,CUST0334,North,Furniture,Sofa,EMP094,2022-09-10,5,199.0,995.0,995.0,Customer_CUST0334,59,Male,West,2023-07-05,Employee_EMP094,West,2019-05-10
ORD00096,CUST0705,West,Sports,Shoes,EMP040,2022-06-10,3,177.8,533.4000000000001,533.4000000000001,Customer_CUST0705,36,Female,West,2022-04-29,Employee_EMP040,East,2020-08-17
ORD00097,CUST0045,South,Furniture,Table,EMP007,2023-07-20,3,574.36,1723.08,1723.08,Customer_CUST0045,38,Female,South,2021-12-21,Employee_EMP007,West,2018-05-20
ORD00098,CUST0594,North,Electronics,Camera,EMP057,2023-09-18,6,365.06,2190.36,2190.36,Customer_CUST0594,40,Male,East,2021-10-03,Employee_EMP057,South,2022-10-19
ORD00099,CUST0618,North,Sports,Football,EMP081,2023-10-01,2,329.33,658.66,658.66,Customer_CUST0618,46,Female,North,2023-01-17,Employee_EMP081,North,2018-11-25
ORD00100,CUST0322,West,Sports,Gloves,EMP040,2022-04-14,1,145.26,145.26,145.26,Customer_CUST0322,62,Male,North,2022-06-05,Employee_EMP040,East,2020-08-17
ORD00101,CUST0321,East,Furniture,Sofa,EMP083,2022-09-03,7,300.66,2104.62,2104.62,Customer_CUST0321,56,Female,East,2022-08-19,Employee_EMP083,North,2020-09-29
ORD00102,CUST0466,South,Clothing,Shoes,EMP095,2023-06-22,3,263.64,790.92,790.92,Customer_CUST0466,59,Female,West,2023-07-23,Employee_EMP095,West,2021-02-12
ORD00103,CUST0274,West,Sports,Gloves,EMP077,2023-02-12,7,506.5,3545.5,3545.5,Customer_CUST0274,50,Female,West,2023-10-26,Employee_EMP077,North,2024-04-21
ORD00104,CUST0115,East,Food,Milk,EMP010,2023-11-16,4,653.46,2613.84,2613.84,Customer_CUST0115,59,Female,South,2022-09-13,Employee_EMP010,East,2018-01-19
ORD00105,CUST0017,East,Furniture,Sofa,EMP037,2023-05-27,3,344.62,1033.86,1033.86,Customer_CUST0017,57,Male,East,2020-08-01,Employee_EMP037,North,2024-03-29
ORD00106,CUST0758,East,Electronics,Camera,EMP029,2022-04-02,2,103.04,206.08,206.08,Customer_CUST0758,62,Female,West,2020-05-25,Employee_EMP029,West,2019-03-14
ORD00107,CUST0400,West,Sports,Gloves,EMP012,2023-12-28,6,334.87,2009.22,2009.22,Customer_CUST0400,37,Female,East,2020-08-15,Employee_EMP012,North,2022-03-29
ORD00108,CUST0862,West,Sports,Gloves,EMP033,2023-11-29,6,594.92,3569.52,3569.52,Customer_CUST0862,46,Male,East,2022-12-23,Employee_EMP033,East,2023-11-24
ORD00109,CUST0868,North,Furniture,Cupboard,EMP078,2022-12-08,1,46.97,46.97,46.97,Customer_CUST0868,35,Male,West,2021-10-10,Employee_EMP078,East,2018-01-05
ORD00110,CUST0243,South,Food,Bread,EMP081,2022-02-23,5,527.02,2635.1,2635.1,Customer_CUST0243,48,Male,East,2020-01-11,Employee_EMP081,North,2018-11-25
ORD00111,CUST0931,West,Electronics,Laptop,EMP055,2022-02-22,5,462.69,2313.45,2313.45,Customer_CUST0931,30,Male,West,2024-02-05,Employee_EMP055,West,2024-02-12
ORD00112,CUST0474,South,Sports,Bat,EMP039,2022-12-16,3,641.06,1923.18,1923.18,Customer_CUST0474,45,Female,East,2020-03-22,Employee_EMP039,East,2021-03-28
ORD00113,CUST0495,West,Clothing,Dress,EMP088,2023-10-18,2,521.14,1042.28,1042.28,Customer_CUST0495,58,Male,East,2023-03-26,Employee_EMP088,West,2022-03-08
ORD00114,CUST0056,North,Furniture,Bed,EMP088,2023-11-01,3,797.23,2391.69,2391.69,Customer_CUST0056,52,Male,South,2021-12-31,Employee_EMP088,West,2022-03-08
ORD00115,CUST0623,West,Food,Bread,EMP002,2023-08-27,7,258.35,1808.45,1808.45,Customer_CUST0623,62,Male,West,2023-02-02,Employee_EMP002,West,2021-06-09
ORD00116,CUST0297,South,Furniture,Bed,EMP034,2023-04-19,5,90.06,450.3,450.3,Customer_CUST0297,22,Male,South,2023-11-30,Employee_EMP034,North,2019-09-07
ORD00117,CUST0061,North,Clothing,Shoes,EMP064,2022-05-07,9,691.61,6224.49,6224.49,Customer_CUST0061,54,Male,South,2021-08-05,Employee_EMP064,East,2020-06-30
ORD00118,CUST0921,West,Sports,Bat,EMP098,2023-10-03,1,447.93,447.93,447.93,Customer_CUST0921,39,Male,West,2023-03-13,Employee_EMP098,West,2021-02-27
ORD00119,CUST0452,North,Sports,Football,EMP075,2022-04-06,6,717.45,4304.700000000001,4304.700000000001,Customer_CUST0452,60,Male,South,2020-10-31,Employee_EMP075,North,2023-10-05
ORD00120,CUST0159,North,Furniture,Chair,EMP002,2023-05-03,5,641.89,3209.45,3209.45,Customer_CUST0159,47,Male,North,2021-11-06,Employee_EMP002,West,2021-06-09
ORD00121,CUST0590,North,Clothing,Jacket,EMP040,2022-07-08,7,660.54,4623.78,4623.78,Customer_CUST0590,46,Female,East,2020-03-12,Employee_EMP040,East,2020-08-17
ORD00122,CUST0949,South,Clothing,Shirt,EMP040,2023-08-04,6,732.74,4396.440000000001,4396.440000000001,Customer_CUST0949,37,Male,North,2022-11-24,Employee_EMP040,East,2020-08-17
ORD00123,CUST0044,South,Food,Snacks,EMP096,2022-03-17,3,760.27,2280.81,2280.81,Customer_CUST0044,50,Female,North,2020-07-25,Employee_EMP096,South,2024-08-13
ORD00124,CUST0456,East,Furniture,Sofa,EMP085,2023-11-28,5,103.22,516.1,516.1,Customer_CUST0456,46,Male,East,2020-12-23,Employee_EMP085,West,2019-07-31
ORD00125,CUST0443,East,Food,Juice,EMP003,2022-04-04,4,183.58,734.32,734.32,Customer_CUST0443,62,Male,North,2024-01-23,Employee_EMP003,West,2023-06-03
ORD00126,CUST0802,West,Sports,Gloves,EMP078,2022-08-06,5,478.74,2393.7,2393.7,Customer_CUST0802,47,Female,West,2021-02-24,Employee_EMP078,East,2018-01-05
ORD00127,CUST0231,West,Food,Snacks,EMP013,2022-10-16,5,404.52,2022.6,2022.6,Customer_CUST0231,22,Female,South,2022-03-13,Employee_EMP013,West,2022-01-28
ORD00128,CUST0246,West,Sports,Tennis Racket,EMP073,2023-06-06,6,638.74,3832.44,3832.44,Customer_CUST0246,31,Female,East,2023-02-12,Employee_EMP073,West,2022-09-16
ORD00129,CUST0781,North,Furniture,Cupboard,EMP086,2022-06-29,3,508.1,1524.3,1524.3,Customer_CUST0781,57,Female,East,2022-09-07,Employee_EMP086,South,2018-11-23
ORD00130,CUST0511,North,Furniture,Sofa,EMP048,2022-11-21,4,619.69,2478.76,2478.76,Customer_CUST0511,52,Male,West,2023-03-16,Employee_EMP048,West,2023-07-04
ORD00131,CUST0262,East,Furniture,Chair,EMP059,2022-12-02,7,944.81,6613.67,6613.67,Customer_CUST0262,19,Male,South,2023-11-11,Employee_EMP059,East,2022-10-04
ORD00132,CUST0675,West,Clothing,Jacket,EMP063,2022-06-09,4,579.72,2318.88,2318.88,Customer_CUST0675,58,Female,West,2023-04-23,Employee_EMP063,South,2022-07-23
ORD00133,CUST0696,East,Electronics,Tablet,EMP008,2023-11-21,3,646.86,1940.58,1940.58,Customer_CUST0696,46,Female,South,2022-06-19,Employee_EMP008,North,2023-11-16
ORD00134,CUST0234,West,Food,Bread,EMP070,2023-11-22,5,629.68,3148.4,3148.4,Customer_CUST0234,60,Female,East,2020-04-26,Employee_EMP070,East,2020-12-12
ORD00135,CUST0948,West,Food,Milk,EMP032,2023-07-31,1,654.97,654.97,654.97,Customer_CUST0948,52,Male,West,2023-07-07,Employee_EMP032,North,2022-08-12
ORD00136,CUST0706,East,Furniture,Table,EMP091,2022-02-12,2,48.57,97.14,97.14,Customer_CUST0706,46,Male,East,2020-09-15,Employee_EMP091,West,2024-03-31
ORD00137,CUST0428,South,Furniture,Table,EMP016,2022-02-04,7,80.48,563.36,563.36,Customer_CUST0428,50,Male,West,2021-03-30,Employee_EMP016,West,2020-10-28
ORD00138,CUST0761,West,Clothing,Shoes,EMP077,2023-08-28,2,268.09,536.18,536.18,Customer_CUST0761,30,Female,East,2023-01-16,Employee_EMP077,North,2024-04-21
ORD00139,CUST0620,South,Food,Milk,EMP010,2022-07-15,5,354.85,1774.25,1774.25,Customer_CUST0620,33,Female,North,2020-05-24,Employee_EMP010,East,2018-01-19
ORD00140,CUST0849,North,Clothing,Jacket,EMP036,2022-03-16,8,737.72,5901.76,5901.76,Customer_CUST0849,55,Male,North,2021-07-08,Employee_EMP036,West,2023-03-28
ORD00141,CUST0537,South,Furniture,Sofa,EMP072,2022-10-04,9,552.49,4972.41,4972.41,Customer_CUST0537,55,Female,East,2022-02-09,Employee_EMP072,North,2022-04-25
ORD00142,CUST0332,North,Food,Milk,EMP090,2023-04-02,8,808.77,6470.16,6470.16,Customer_CUST0332,62,Male,East,2022-02-10,Employee_EMP090,East,2022-01-05
ORD00143,CUST0675,West,Furniture,Bed,EMP024,2023-11-20,3,418.49,1255.47,1255.47,Customer_CUST0675,58,Female,West,2023-04-23,Employee_EMP024,West,2020-04-12
ORD00144,CUST1000,East,Clothing,Jacket,EMP001,2022-04-06,8,868.45,6947.6,6947.6,Customer_CUST1000,39,Female,North,2023-05-02,Employee_EMP001,South,2024-02-07
ORD00145,CUST0226,North,Furniture,Bed,EMP063,2022-02-06,1,683.05,683.05,683.05,Customer_CUST0226,63,Female,West,2023-02-04,Employee_EMP063,South,2022-07-23
ORD00146,CUST0331,West,Clothing,Shirt,EMP055,2022-10-06,9,245.85,2212.65,2212.65,Customer_CUST0331,19,Male,North,2022-10-16,Employee_EMP055,West,2024-02-12
ORD00147,CUST0067,South,Food,Snacks,EMP094,2022-09-30,1,510.2,510.2,510.2,Customer_CUST0067,32,Male,East,2021-02-17,Employee_EMP094,West,2019-05-10
ORD00148,CUST0828,North,Furniture,Bed,EMP047,2023-12-30,6,304.66,1827.96,1827.96,Customer_CUST0828,49,Female,South,2023-11-20,Employee_EMP047,East,2019-12-16
ORD00149,CUST0792,East,Food,Snacks,EMP055,2022-01-19,1,62.95,62.95,62.95,Customer_CUST0792,43,Female,West,2020-01-06,Employee_EMP055,West,2024-02-12
